interval:70
pressure,temperature
394.02,19.85
394.28,19.85
394.42,19.85
394.42,19.85
394.51,19.85
394.53,19.84
394.47,19.84
394.42,19.83
394.42,19.83
394.69,19.84
394.82,19.83
394.87,19.83
394.64,19.83
394.4,19.82
394.47,19.82
394.97,19.83
395.37,19.83
395.58,19.83
395.59,19.83
395.27,19.82
394.45,19.8
393.67,19.78
393.21,19.78
393.27,19.78
393.77,19.78
394.06,19.79
394.15,19.79
394.03,19.78
393.92,19.78
394.01,19.78
394.19,19.78
394.17,19.78
393.99,19.78
394.03,19.78
394.76,19.78
395.93,19.81
396.87,19.82
397.42,19.82
397.58,19.83
397.68,19.83
397.75,19.83
397.8,19.82
397.85,19.82
397.89,19.82
397.9,19.81
397.94,19.81
397.99,19.81
398.18,19.81
398.13,19.8
397.81,19.8
397.16,19.78
396.87,19.78
397.73,19.78
398.24,19.8
398.79,19.8
398.96,19.8
399.03,19.8
399.1,19.8
399.19,19.8
399.18,19.8
399.29,19.8
399.34,19.8
399.41,19.79
399.49,19.79
399.5,19.79
399.5,19.79
399.39,19.79
399.46,19.79
399.38,19.78
399.2,19.78
398.8,19.77
398.41,19.76
398.29,19.76
398.74,19.77
399.65,19.78
400.11,19.78
400.41,19.78
400.5,19.78
400.59,19.78
400.8,19.78
400.95,19.78
401.12,19.78
401.2,19.78
401.23,19.78
401.29,19.78
401.45,19.78
401.54,19.78
401.68,19.78
401.71,19.78
401.72,19.78
401.78,19.77
401.86,19.77
401.95,19.77
402.07,19.77
402.09,19.77
402.08,19.77
402.06,19.76
402.14,19.76
402.05,19.75
401.67,19.74
401.34,19.73
401.13,19.73
401.19,19.73
401.51,19.73
401.96,19.74
402.53,19.74
402.93,19.75
403.04,19.75
403.17,19.74
403.25,19.74
403.26,19.74
403.31,19.74
403.33,19.74
403.3,19.74
403.35,19.73
403.45,19.73
403.59,19.73
403.66,19.73
403.66,19.73
403.38,19.72
402.78,19.71
402.1,19.68
401.76,19.68
401.87,19.67
402.01,19.68
402.37,19.68
402.85,19.69
403.58,19.71
404.31,19.72
404.88,19.73
405.07,19.73
405.22,19.73
405.28,19.73
405.39,19.73
405.5,19.73
405.57,19.72
405.55,19.73
405.57,19.72
405.63,19.72
405.71,19.72
405.75,19.72
405.91,19.72
406.03,19.71
406.1,19.71
406.16,19.71
406.21,19.69
406.27,19.7
406.37,19.69
406.4,19.69
406.54,19.69
406.62,19.69
406.67,19.69
406.71,19.69
406.74,19.69
406.89,19.69
407.04,19.69
407.13,19.68
407.16,19.68
407.21,19.68
407.29,19.68
407.36,19.68
407.37,19.68
407.38,19.67
407.47,19.67
407.62,19.67
407.63,19.67
407.52,19.66
407.06,19.65
406.25,19.63
405.42,19.62
405.07,19.61
405,19.61
405.16,19.61
405.49,19.62
405.72,19.62
405.83,19.62
405.98,19.62
406.22,19.62
406.41,19.62
406.51,19.62
406.61,19.62
406.44,19.61
406.12,19.61
406.08,19.6
406.35,19.61
406.64,19.61
406.94,19.61
407,19.61
406.88,19.61
406.8,19.6
406.89,19.6
407.03,19.61
407.51,19.62
408.05,19.62
408.48,19.62
408.76,19.62
409.09,19.63
409.47,19.63
409.88,19.64
410.12,19.64
410.31,19.64
410.5,19.64
410.75,19.64
410.79,19.64
410.88,19.64
411,19.64
411.08,19.64
411.16,19.64
411.27,19.64
411.38,19.64
411.43,19.63
411.55,19.63
411.64,19.63
411.68,19.63
411.84,19.63
411.89,19.63
411.99,19.63
412.05,19.63
412.21,19.63
412.17,19.62
412.29,19.62
412.37,19.62
412.48,19.62
412.58,19.63
412.64,19.63
412.77,19.62
412.78,19.62
412.92,19.62
412.98,19.62
413.08,19.62
413.17,19.62
413.2,19.61
413.24,19.61
413.3,19.61
413.37,19.61
413.47,19.6
413.49,19.6
413.54,19.6
413.66,19.6
413.62,19.59
413.17,19.58
412.56,19.56
412.19,19.56
412.37,19.56
413.25,19.58
414.13,19.59
414.51,19.59
414.63,19.59
414.75,19.59
414.84,19.58
414.75,19.58
414.72,19.58
414.86,19.58
414.55,19.56
413.76,19.54
413.06,19.52
412.65,19.51
412.48,19.51
412.77,19.51
413.69,19.53
414.88,19.56
415.76,19.57
415.98,19.57
416.02,19.57
415.89,19.56
415.86,19.56
415.52,19.54
414.41,19.51
413.94,19.5
413.96,19.5
414.31,19.5
414.94,19.51
415.71,19.52
416.37,19.53
416.64,19.53
416.72,19.53
416.74,19.52
416.67,19.52
416.42,19.51
416.22,19.5
415.85,19.49
415.5,19.48
415.27,19.47
415.03,19.47
414.74,19.46
414.79,19.47
415.16,19.46
415.92,19.48
417.14,19.5
417.73,19.51
418.15,19.51
418.31,19.51
418.38,19.51
418.46,19.51
418.42,19.51
418.55,19.51
418.67,19.51
418.74,19.5
418.73,19.5
418.76,19.5
418.61,19.49
418.24,19.48
417.63,19.47
417.28,19.46
417.37,19.46
417.65,19.47
418.12,19.47
418.28,19.47
418.32,19.47
418.42,19.47
418.88,19.48
419.52,19.49
419.97,19.49
420.12,19.49
420.17,19.49
420.22,19.49
420.28,19.49
420.35,19.49
420.39,19.48
420.43,19.48
420.49,19.48
420.37,19.47
419.98,19.46
419.65,19.46
419.74,19.46
420.1,19.47
420.7,19.47
421.25,19.47
421.51,19.47
421.62,19.47
421.61,19.47
421.57,19.46
421.53,19.46
421.54,19.47
421.57,19.46
421.25,19.45
421.12,19.45
421.31,19.45
421.72,19.45
422.14,19.46
422.44,19.46
422.6,19.45
422.72,19.45
422.81,19.45
422.89,19.45
422.86,19.45
422.85,19.45
422.79,19.44
422.89,19.44
422.57,19.43
422.12,19.42
421.83,19.41
422.13,19.41
422.66,19.42
423.36,19.43
423.68,19.43
423.84,19.43
423.85,19.42
423.75,19.42
423.27,19.4
422,19.37
421.45,19.35
421.52,19.35
421.82,19.36
422.25,19.36
422.67,19.36
422.96,19.37
423.33,19.37
423.93,19.39
424.56,19.4
424.95,19.4
425.08,19.4
425.08,19.4
424.96,19.39
424.94,19.38
424.83,19.37
424.64,19.36
424.32,19.35
424.09,19.35
423.97,19.34
423.93,19.34
423.98,19.34
424.36,19.35
425.16,19.36
425.93,19.37
426.17,19.37
426.28,19.37
426.3,19.37
426.28,19.37
426.32,19.36
426.44,19.36
426.5,19.36
426.64,19.36
426.61,19.36
426.37,19.35
425.61,19.33
424.75,19.31
425.07,19.32
426.45,19.35
427.41,19.35
427.6,19.35
427.57,19.35
427.44,19.34
427.36,19.34
427.43,19.33
427.41,19.33
427.04,19.31
426.07,19.3
425.16,19.28
425.27,19.29
426.79,19.31
428.12,19.32
428.33,19.32
428.32,19.32
428.41,19.32
428.39,19.31
428.01,19.31
427.09,19.29
426.18,19.27
425.85,19.27
426.86,19.29
428.34,19.3
429.11,19.31
429.3,19.31
429.4,19.32
429.46,19.32
429.5,19.31
429.57,19.31
429.54,19.31
429.57,19.31
429.62,19.3
429.3,19.3
428.66,19.29
428.15,19.27
428.28,19.27
429.08,19.29
430.19,19.31
430.48,19.31
430.58,19.3
430.57,19.3
430.58,19.3
430.35,19.28
429.52,19.27
429.62,19.27
430.89,19.29
431.2,19.29
431.18,19.28
431.15,19.28
431.15,19.27
431.1,19.27
430.91,19.26
430.7,19.25
430.51,19.24
430.35,19.23
430.15,19.22
429.86,19.21
429.55,19.2
429.24,19.19
429.29,19.19
429.34,19.19
429.38,19.19
429.55,19.19
429.9,19.19
430.09,19.19
430.36,19.19
430.27,19.19
429.96,19.18
429.58,19.17
429.48,19.16
